Team,Seed,Region,Rk,Conf,W-L,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
Duke,1,EAST,1,ACC,32-2,38.9,128.0,4,89.0,2,65.4,287,0.049,62,14.3,15,117.0,23,102.7,11,10.1,18
Arizona,1,WEST,2,B12,32-2,37.66,127.7,5,90.0,3,69.8,54,0.023,127,14.99,9,117.6,15,102.7,8,3.27,101
Michigan,1,MIDWEST,3,B10,31-3,37.59,126.6,8,89.0,1,71.0,22,0.045,67,16.66,4,119.2,4,102.5,5,12.51,11
Florida,1,SOUTH,4,SEC,26-7,33.79,125.5,9,91.7,6,70.6,28,-0.036,289,16.02,5,119.4,3,103.4,26,7.93,30
Houston,2,SOUTH,5,B12,28-6,33.44,124.9,14,91.4,5,63.3,352,-0.006,204,13.6,24,116.9,25,103.3,23,0.9,155
Iowa St.,2,MIDWEST,6,B12,27-7,32.43,123.8,21,91.4,4,66.6,225,-0.012,219,12.46,31,115.6,48,103.1,20,-3.56,280
Illinois,3,SOUTH,7,B10,24-8,32.1,131.2,2,99.1,28,65.6,276,-0.05,305,13.65,23,117.1,22,103.4,27,3.77,91
Purdue,2,WEST,8,B10,27-8,31.2,131.6,1,100.4,36,64.4,325,-0.006,199,15.89,7,118.4,9,102.5,4,6.31,49
Michigan St.,3,EAST,9,B10,25-7,28.3,123.0,24,94.7,13,66.1,253,0.005,178,13.69,21,118.1,11,104.4,54,3.64,94
Gonzaga,3,WEST,10,WCC,30-3,28.11,122.0,29,93.9,9,68.6,111,0.072,28,5.91,87,113.0,81,107.1,99,8.33,27
UConn,2,EAST,11,BE,29-5,27.85,122.0,30,94.1,11,64.5,323,0.055,55,12.01,36,115.3,53,103.3,24,7.62,39
Vanderbilt,5,SOUTH,12,SEC,26-8,27.51,126.8,7,99.3,30,68.9,98,0.018,133,14.57,13,118.0,13,103.4,28,1.19,148
Virginia,3,MIDWEST,13,ACC,29-5,26.71,122.5,27,95.8,16,65.8,270,0.056,52,9.95,70,115.4,49,105.5,73,-3.26,273
Nebraska,4,SOUTH,14,B10,26-6,26.16,118.5,55,92.4,7,66.8,218,0.034,97,11.61,42,116.4,32,104.8,62,-5.99,319
Arkansas,4,WEST,15,SEC,26-8,26.06,127.7,6,101.6,48,71.0,20,0.051,60,14.97,10,118.9,7,103.9,38,4.42,81
Tennessee,6,MIDWEST,16,SEC,22-11,26.03,121.1,35,95.0,15,65.0,307,-0.06,321,14.78,11,119.1,5,104.3,50,0.76,161
St. John's,5,EAST,17,BE,28-6,25.89,120.1,45,94.2,12,69.6,68,0.061,44,11.52,44,115.1,59,103.6,31,6.61,44
Alabama,4,MIDWEST,18,SEC,23-9,25.71,129.0,3,103.3,67,73.1,4,0.019,130,16.75,2,119.4,2,102.7,9,13.39,9
Louisville,6,EAST,19,ACC,23-10,25.42,124.1,19,98.6,25,69.7,62,-0.02,239,12.56,30,115.9,40,103.3,25,2.41,115
Texas Tech,5,MIDWEST,20,B12,22-10,25.24,125.1,12,99.8,33,66.2,245,0.006,175,15.66,8,118.3,10,102.6,7,7.8,33
Kansas,4,EAST,21,B12,23-10,24.44,118.3,57,93.9,10,67.7,164,0.053,56,16.96,1,118.0,12,101.0,1,10.99,15
Wisconsin,5,WEST,22,B10,24-10,23.39,125.3,11,102.0,51,68.8,104,0.041,80,13.94,18,117.2,20,103.3,22,-1.08,219
BYU,6,WEST,23,B12,23-11,23.25,125.5,10,102.2,57,70.0,46,-0.017,232,14.29,16,116.3,33,102.0,3,4.89,74
Saint Mary's,7,SOUTH,24,WCC,27-5,23.07,120.3,43,97.2,19,65.2,298,0.011,155,5.0,93,111.5,96,106.5,92,3.89,90
Iowa,9,SOUTH,25,B10,21-12,22.44,121.7,31,99.3,31,63.0,357,-0.061,328,11.38,47,115.6,47,104.2,49,-7.18,336
Ohio St.,8,EAST,26,B10,21-12,22.24,124.3,17,102.1,54,66.1,252,-0.031,272,13.68,22,116.6,28,103.0,15,-1.82,236
UCLA,7,EAST,27,B10,23-11,21.67,123.7,22,102.1,53,64.7,318,0.017,136,12.23,33,116.1,35,103.9,37,-2.15,248
Kentucky,7,MIDWEST,28,SEC,21-13,21.48,120.5,38,99.0,27,68.4,124,-0.019,235,15.94,6,119.0,6,103.1,18,1.34,140
North Carolina,6,SOUTH,29,ACC,24-8,20.84,121.4,32,100.6,37,68.0,143,0.057,49,11.46,45,115.4,50,103.9,40,1.32,141
Utah St.,9,WEST,30,MWC,28-6,20.77,122.2,28,101.4,45,67.7,158,0.065,39,7.15,80,112.8,83,105.6,76,1.98,126
Miami (FL),7,WEST,31,ACC,25-8,20.68,121.4,33,100.7,38,67.6,168,0.021,129,8.01,77,113.7,76,105.7,77,-7.29,337
Georgia,8,MIDWEST,32,SEC,22-10,20.48,124.7,16,104.2,80,71.4,16,-0.005,197,10.79,61,116.0,39,105.2,70,-6.43,327
