Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
144,Robert Morris,,Horz,22-11,22,11,1.68,110.8,139,109.1,171,64.5,324,0.029,111,-4.53,258,108.9,172,113.4,337,-1.41,225
145,Idaho,15.0,BSky,21-14,21,14,1.56,108.9,176,107.3,136,67.8,157,-0.012,217,-1.63,195,109.4,146,111.1,232,0.79,160
146,William & Mary,,CAA,20-12,20,12,1.55,111.0,135,109.5,184,72.6,7,0.024,122,-2.03,208,108.3,210,110.3,206,0.33,177
147,Portland St.,,BSky,20-11,20,11,1.54,103.5,278,102.0,52,68.0,140,0.008,169,-1.96,205,109.8,129,111.8,267,1.43,138
148,Kent St.,,MAC,24-9,24,9,1.5,111.8,120,110.3,200,70.3,35,0.136,3,-2.61,218,109.3,151,111.9,274,-3.32,276
149,Bowling Green,,MAC,18-14,18,14,1.5,107.2,205,105.8,107,68.4,125,-0.095,356,-3.33,227,108.2,213,111.5,254,-6.39,324
150,Arkansas St.,,SB,20-12,20,12,1.41,110.6,144,109.2,173,72.0,10,0.008,171,-3.79,244,107.2,263,111.0,228,2.82,111
151,Penn,14.0,Ivy,18-11,18,11,1.31,107.3,204,106.0,112,69.1,89,0.068,34,-0.82,171,109.1,158,109.9,191,0.42,173
152,Central Arkansas,,ASun,22-12,22,12,1.26,110.2,151,108.9,163,68.0,142,0.041,82,-5.4,271,109.1,162,114.5,357,5.71,58
153,UT Arlington,,WAC,18-14,18,14,1.16,102.6,291,101.5,47,64.9,311,0.03,107,0.57,143,108.8,176,108.2,133,3.4,98
154,Harvard,,Ivy,17-12,17,12,1.14,106.6,218,105.4,102,63.0,359,-0.015,227,-3.48,231,107.8,241,111.3,238,-5.13,303
155,Winthrop,,BSth,23-11,23,11,1.11,111.6,126,110.5,204,70.0,43,0.025,121,-4.76,262,106.8,273,111.6,260,1.09,152
156,Towson,,CAA,19-15,19,15,1.06,105.8,236,104.7,90,63.5,347,0.012,153,-0.92,174,109.0,164,109.9,192,2.79,112
157,Boston College,,ACC,11-20,11,20,1.06,103.7,275,102.7,61,66.0,259,-0.035,282,6.6,82,113.1,80,106.5,91,-7.48,342
158,Valparaiso,,MVC,18-15,18,15,1.0,108.2,185,107.2,135,65.1,301,0.041,83,0.86,136,109.2,155,108.3,136,-5.93,318
159,UC Davis,,BW,19-14,19,14,0.91,108.0,189,107.1,132,69.0,90,0.04,86,-0.19,159,108.2,215,108.4,139,1.69,133
160,Kennesaw St.,14.0,CUSA,21-13,21,13,0.77,110.7,140,110.0,192,71.2,19,0.009,167,-2.03,207,108.1,220,110.1,198,-5.15,304
161,Richmond,,A10,15-17,15,17,0.72,111.3,131,110.5,205,67.7,165,-0.092,351,-0.22,160,109.1,163,109.3,169,-9.06,357
162,Loyola Marymount,,WCC,15-17,15,17,0.69,106.5,222,105.8,109,67.0,201,-0.045,299,0.6,142,109.7,132,109.1,162,-5.78,315
163,Georgia Tech,,ACC,11-20,11,20,0.58,107.7,197,107.1,133,70.7,25,-0.039,292,6.3,84,111.9,91,105.6,74,-9.74,360
164,Temple,,Amer,16-16,16,16,0.47,111.7,125,111.2,215,64.9,308,-0.073,337,-1.54,192,107.5,251,109.1,161,-3.21,270
165,East Tennessee St.,,SC,23-11,23,11,0.44,109.7,159,109.2,174,66.1,254,-0.021,242,-8.01,318,106.7,277,114.7,358,-4.22,291
166,Cal St. Fullerton,,BW,18-16,18,16,0.39,109.4,165,109.0,167,72.9,5,0.047,66,1.44,120,109.5,144,108.0,126,6.46,46
167,Fordham,,A10,17-15,17,15,0.36,104.6,261,104.2,79,64.4,327,-0.056,317,-2.28,211,107.8,242,110.1,196,-16.17,365
168,Cornell,,Ivy,15-13,15,13,0.35,119.8,48,119.4,343,71.3,18,-0.032,273,-1.53,191,108.2,214,109.7,179,-0.76,205
169,Oakland,,Horz,16-16,16,16,0.21,115.2,82,115.0,295,69.8,53,0.016,140,-0.1,156,110.4,108,110.5,210,17.32,1
170,Western Kentucky,,CUSA,18-14,18,14,0.2,108.6,181,108.4,154,69.9,51,0.008,170,-0.64,165,109.7,133,110.3,207,1.42,139
171,Eastern Washington,,BSky,14-19,14,19,0.01,113.1,105,113.1,256,67.7,161,-0.061,323,0.87,134,110.0,119,109.2,168,7.57,40
